,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
578,FIEMIND,Fiem Industries Limited,EQ,19-OCT-2006,10,1,INE737H01014,10
579,FILATEX,Filatex India Limited,EQ,29-AUG-2011,1,1,INE816B01035,1
580,FILATFASH,Filatex Fashions Limited,BE,06-MAY-2024,1,1,INE185E01021,1
581,FINCABLES,Finolex Cables Limited,EQ,15-FEB-1995,2,1,INE235A01022,2
582,FINEORG,Fine Organic Industries Limited,EQ,02-JUL-2018,5,1,INE686Y01026,5
583,FINOPB,Fino Payments Bank Limited,EQ,12-NOV-2021,10,1,INE02NC01014,10
584,FINPIPE,Finolex Industries Limited,EQ,08-FEB-1995,2,1,INE183A01024,2
585,FIRSTCRY,Brainbees Solutions Limited,EQ,13-AUG-2024,2,1,INE02RE01045,2
586,FIVESTAR,Five-Star Business Finance Limited,EQ,21-NOV-2022,1,1,INE128S01021,1
587,FLAIR,Flair Writing Industries Limited,EQ,01-DEC-2023,5,1,INE00Y201027,5
588,FLEXITUFF,Flexituff Ventures International Limited,BE,19-OCT-2011,10,1,INE060J01017,10
589,FLFL,Future Lifestyle Fashions Limited,BZ,01-OCT-2013,2,1,INE452O01016,2
590,FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ,16-OCT-2019,1,1,INE09N301011,1
591,FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,08-FEB-1995,10,1,INE529A01010,10
592,FMNL,Future Market Networks Limited,BE,31-DEC-2010,10,1,INE360L01017,10
593,FOCUS,Focus Lighting and Fixtures Limited,EQ,24-NOV-2021,2,1,INE593W01028,2
594,FOODSIN,Foods & Inns Limited,EQ,16-NOV-2021,1,1,INE976E01023,1
595,FORCEMOT,FORCE MOTORS LTD,EQ,14-FEB-2024,10,1,INE451A01017,10
596,FORTIS,Fortis Healthcare Limited,EQ,09-MAY-2007,10,1,INE061F01013,10
597,FOSECOIND,Foseco India Limited,EQ,05-MAY-2003,10,1,INE519A01011,10
598,FSC,Future Supply Chain Solutions Limited,BZ,18-DEC-2017,10,1,INE935Q01015,10
599,FSL,Firstsource Solutions Limited,EQ,22-FEB-2007,10,1,INE684F01012,10
600,FUSION,Fusion Finance Limited,EQ,15-NOV-2022,10,1,INE139R01012,10
601,GABRIEL,Gabriel India Limited,EQ,20-APR-2005,1,1,INE524A01029,1
602,GAEL,Gujarat Ambuja Exports Limited,EQ,11-OCT-2000,1,1,INE036B01030,1
603,GAIL,GAIL (India) Limited,EQ,02-APR-1997,10,1,INE129A01019,10
604,GALAPREC,Gala Precision Engineering Limited,EQ,09-SEP-2024,10,1,INE0RE001014,10
605,GALAXYSURF,Galaxy Surfactants Limited,EQ,08-FEB-2018,10,1,INE600K01018,10
606,GALLANTT,Gallantt Ispat Limited,EQ,04-APR-2006,10,1,INE297H01019,10
607,GANDHAR,Gandhar Oil Refinery (India) Limited,EQ,30-NOV-2023,2,1,INE717W01049,2
608,GANDHITUBE,Gandhi Special Tubes Limited,EQ,31-JAN-2007,5,1,INE524B01027,5
609,GANECOS,Ganesha Ecosphere Limited,EQ,09-MAR-2015,10,1,INE845D01014,10
610,GANESHBE,Ganesh Benzoplast Limited,EQ,16-SEP-2021,1,1,INE388A01029,1
611,GANESHHOUC,Ganesh Housing Corporation Limited,EQ,02-MAR-2007,10,1,INE460C01014,10
612,GANGAFORGE,Ganga Forging Limited,EQ,06-JUL-2021,1,1,INE691Z01023,1
613,GANGESSECU,Ganges Securities Limited,EQ,28-JUL-2017,10,1,INE335W01016,10
614,GANGOTRI,Gangotri Textiles Limited,BZ,07-APR-2006,5,1,INE670B01028,5
615,GARFIBRES,Garware Technical Fibres Limited,EQ,03-APR-2007,10,1,INE276A01018,10
616,GARUDA,Garuda Construction and Engineering Limited,EQ,15-OCT-2024,5,1,INE0JVO01026,5
617,GATECH,GACM Technologies Limited,BE,25-JUL-2016,1,1,INE224E01028,1
618,GATECHDVR,GACM Technologies Limited,BE,10-OCT-2017,1,1,INE224E01036,1
619,GATEWAY,Gateway Distriparks Limited,EQ,22-MAR-2022,10,1,INE079J01017,10
620,GAYAHWS,Gayatri Highways Limited,BE,28-JUN-2018,2,1,INE287Z01012,2
621,GAYAPROJ,Gayatri Projects Limited,BZ,22-AUG-2011,2,1,INE336H01023,2
622,GEECEE,GeeCee Ventures Limited,EQ,04-OCT-2006,10,1,INE916G01016,10
623,GEEKAYWIRE,Geekay Wires Limited,EQ,06-MAR-2020,2,1,INE669X01024,2
624,GENCON,Generic Engineering Construction and Projects Limited,EQ,16-FEB-2021,5,1,INE854S01022,5
625,GENESYS,Genesys International Corporation Limited,EQ,23-JAN-2003,5,1,INE727B01026,5
626,GENSOL,Gensol Engineering Limited,EQ,03-JUL-2023,10,1,INE06H201014,10
627,GENUSPAPER,Genus Paper & Boards Limited,EQ,16-FEB-2015,1,1,INE949P01018,1
628,GENUSPOWER,Genus Power Infrastructures Limited,EQ,08-JUL-2005,1,1,INE955D01029,1
629,GEOJITFSL,Geojit Financial Services Limited,EQ,01-JUL-2005,1,1,INE007B01023,1
630,GEPIL,GE Power India Limited,EQ,19-APR-2000,10,1,INE878A01011,10
631,GESHIP,The Great Eastern Shipping Company Limited,EQ,27-NOV-2006,10,1,INE017A01032,10
632,GFLLIMITED,GFL Limited,EQ,25-MAY-1995,1,1,INE538A01037,1
633,GFSTEELS,Grand Foundry Limited,BE,22-JUL-2019,4,1,INE534A01028,4
634,GHCL,GHCL Limited,EQ,31-JUL-2003,10,1,INE539A01019,10
635,GHCLTEXTIL,GHCL Textiles Limited,EQ,12-JUN-2023,2,1,INE0PA801013,2
636,GICHSGFIN,GIC Housing Finance Limited,EQ,08-MAY-1996,10,1,INE289B01019,10
637,GICRE,General Insurance Corporation of India,EQ,25-OCT-2017,5,1,INE481Y01014,5
638,GILLANDERS,Gillanders Arbuthnot & Company Limited,BE,14-DEC-2009,10,1,INE047B01011,10
639,GILLETTE,Gillette India Limited,EQ,30-JUL-2003,10,1,INE322A01010,10
640,GINNIFILA,Ginni Filaments Limited,EQ,10-MAY-1995,10,1,INE424C01010,10
641,GIPCL,Gujarat Industries Power Company Limited,EQ,08-FEB-1995,10,1,INE162A01010,10
642,GKWLIMITED,GKW Limited,EQ,20-JUL-2009,10,1,INE528A01020,10
643,GLAND,Gland Pharma Limited,EQ,20-NOV-2020,1,1,INE068V01023,1
644,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,15-DEC-2000,10,1,INE159A01016,10
645,GLENMARK,Glenmark Pharmaceuticals Limited,EQ,07-FEB-2000,1,1,INE935A01035,1
646,GLFL,Gujarat Lease Financing Limited,BE,08-FEB-1995,10,1,INE540A01017,10
647,GLOBAL,Global Education Limited,EQ,07-DEC-2020,2,1,INE291W01037,2
648,GLOBALE,Globale Tessile Limited,BE,27-AUG-2024,10,1,INE0URU01010,10
649,GLOBALVECT,Global Vectra Helicorp Limited,BE,27-OCT-2006,10,1,INE792H01019,10
650,GLOBE,Globe Textiles (India) Limited,EQ,07-OCT-2020,2,1,INE581X01021,2
651,GLOBUSSPR,Globus Spirits Limited,EQ,23-SEP-2009,10,1,INE615I01010,10
652,GLOSTERLTD,Gloster Limited,EQ,26-APR-2024,10,1,INE350Z01018,10
653,GMBREW,GM Breweries Limited,EQ,23-AUG-1995,10,1,INE075D01018,10
654,GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,17-DEC-1997,2,1,INE131A01031,2
655,GMMPFAUDLR,GMM Pfaudler Limited,EQ,05-MAR-2018,2,1,INE541A01023,2
656,GMRAIRPORT,GMR AIRPORTS LIMITED,EQ,21-AUG-2006,1,1,INE776C01039,1
657,GMRP&UI,GMR Power and Urban Infra Limited,EQ,23-MAR-2022,5,1,INE0CU601026,5
658,GNA,GNA Axles Limited,EQ,26-SEP-2016,10,1,INE934S01014,10
659,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,17-MAY-1995,10,1,INE113A01013,10
660,GOACARBON,Goa Carbon Limited,EQ,05-JUN-2007,10,1,INE426D01013,10
661,GOCLCORP,GOCL Corporation Limited,EQ,26-JUN-2014,2,1,INE077F01035,2
662,GOCOLORS,Go Fashion (India) Limited,EQ,30-NOV-2021,10,1,INE0BJS01011,10
663,GODAVARIB,Godavari Biorefineries Limited,EQ,30-OCT-2024,10,1,INE497S01012,10
664,GODFRYPHLP,Godfrey Phillips India Limited,EQ,24-JUL-1996,2,1,INE260B01028,2
665,GODHA,Godha Cabcon & Insulation Limited,BE,24-DEC-2020,1,1,INE925Y01036,1
666,GODIGIT,Go Digit General Insurance Limited,EQ,23-MAY-2024,10,1,INE03JT01014,10
667,GODREJAGRO,Godrej Agrovet Limited,EQ,16-OCT-2017,10,1,INE850D01014,10
668,GODREJCP,Godrej Consumer Products Limited,EQ,20-JUN-2001,1,1,INE102D01028,1
669,GODREJIND,Godrej Industries Limited,EQ,25-FEB-2003,1,1,INE233A01035,1
670,GODREJPROP,Godrej Properties Limited,EQ,05-JAN-2010,5,1,INE484J01027,5
671,GOENKA,Goenka Diamond and Jewels Limited,BZ,16-APR-2010,1,1,INE516K01024,1
672,GOKEX,Gokaldas Exports Limited,EQ,27-APR-2005,5,1,INE887G01027,5
673,GOKUL,Gokul Refoils and Solvent Limited,EQ,04-JUN-2008,2,1,INE020J01029,2
674,GOKULAGRO,Gokul Agro Resources Limited,EQ,11-MAR-2016,2,1,INE314T01025,2
675,GOLDENTOBC,Golden Tobacco Limited,BZ,08-FEB-1995,10,1,INE973A01010,10
676,GOLDIAM,Goldiam International Limited,EQ,29-AUG-2005,2,1,INE025B01025,2
677,GOLDTECH,AION-TECH SOLUTIONS LIMITED,BE,11-APR-2001,10,1,INE805A01014,10
678,GOODLUCK,Goodluck India Limited,EQ,08-JAN-2015,2,1,INE127I01024,2
679,GOPAL,Gopal Snacks Limited,EQ,14-MAR-2024,1,1,INE0L9R01028,1
680,GOYALALUM,Goyal Aluminiums Limited,EQ,04-NOV-2022,1,1,INE705X01026,1
681,GPIL,Godawari Power And Ispat limited,EQ,25-APR-2006,1,1,INE177H01039,1
682,GPPL,Gujarat Pipavav Port Limited,EQ,09-SEP-2010,10,1,INE517F01014,10
683,GPTHEALTH,GPT Healthcare Limited,EQ,29-FEB-2024,10,1,INE486R01017,10
684,GPTINFRA,GPT Infraprojects Limited,EQ,11-JUL-2016,10,1,INE390G01014,10
685,GRANULES,Granules India Limited,EQ,20-JUN-2005,1,1,INE101D01020,1
686,GRAPHITE,Graphite India Limited,EQ,07-FEB-2003,2,1,INE371A01025,2
687,GRASIM,Grasim Industries Limited,EQ,10-MAY-1995,2,1,INE047A01021,2
688,GRAVITA,Gravita India Limited,EQ,16-NOV-2010,2,1,INE024L01027,2
689,GREAVESCOT,Greaves Cotton Limited,EQ,09-SEP-2004,2,1,INE224A01026,2
690,GREENLAM,Greenlam Industries Limited,EQ,02-MAR-2015,1,1,INE544R01021,1
691,GREENPANEL,Greenpanel Industries Limited,EQ,23-OCT-2019,1,1,INE08ZM01014,1
692,GREENPLY,Greenply Industries Limited,EQ,06-MAR-1996,1,1,INE461C01038,1
693,GREENPOWER,Orient Green Power Company Limited,EQ,08-OCT-2010,10,1,INE999K01014,10
694,GRINDWELL,Grindwell Norton Limited,EQ,11-SEP-2006,5,1,INE536A01023,5
695,GRINFRA,G R Infraprojects Limited,EQ,19-JUL-2021,5,1,INE201P01022,5
696,GRMOVER,GRM Overseas Limited,EQ,07-SEP-2022,2,1,INE192H01020,2
697,GROBTEA,The Grob Tea Company Limited,EQ,14-JUL-2016,10,1,INE646C01018,10
698,GRPLTD,GRP Limited,EQ,12-FEB-2015,10,1,INE137I01015,10
699,GRSE,Garden Reach Shipbuilders & Engineers Limited,EQ,10-OCT-2018,10,1,INE382Z01011,10
700,GRWRHITECH,Garware Hi-Tech Films Limited,EQ,03-FEB-2022,10,1,INE291A01017,10
701,GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ,06-SEP-1995,2,1,INE026A01025,2
702,GSLSU,Global Surfaces Limited,EQ,23-MAR-2023,10,1,INE0JSX01015,10
703,GSPL,Gujarat State Petronet Limited,EQ,16-FEB-2006,10,1,INE246F01010,10
704,GSS,GSS Infotech Limited,EQ,07-MAR-2008,10,1,INE871H01011,10
705,GTECJAINX,G-TEC JAINX EDUCATION LIMITED,BE,13-NOV-2020,10,1,INE586X01012,10
706,GTL,GTL Limited,EQ,29-MAR-1995,10,1,INE043A01012,10
707,GTLINFRA,GTL Infrastructure Limited,EQ,09-NOV-2006,10,1,INE221H01019,10
708,GTPL,GTPL Hathway Limited,EQ,04-JUL-2017,10,1,INE869I01013,10
709,GUFICBIO,Gufic Biosciences Limited,EQ,19-OCT-2004,1,1,INE742B01025,1
710,GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ,07-AUG-1997,10,1,INE186A01019,10
711,GUJAPOLLO,Gujarat Apollo Industries Limited,EQ,04-JUN-2007,10,1,INE826C01016,10
712,GUJGASLTD,Gujarat Gas Limited,EQ,15-SEP-2015,2,1,INE844O01030,2
713,GUJRAFFIA,Gujarat Raffia Industries Limited,BE,09-OCT-1996,10,1,INE610B01024,10
714,GULFOILLUB,Gulf Oil Lubricants India Limited,EQ,31-JUL-2014,2,1,INE635Q01029,2
715,GULFPETRO,GP Petroleums Limited,EQ,24-SEP-2004,5,1,INE586G01017,5
716,GULPOLY,Gulshan Polyols Limited,EQ,28-JAN-2015,1,1,INE255D01024,1
717,GVKPIL,GVK Power & Infrastructure Limited,BE,27-FEB-2006,1,1,INE251H01024,1
718,GVPTECH,GVP Infotech Limited,EQ,06-SEP-2022,2,1,INE382T01030,2
719,GVT&D,GE Vernova T&D India Limited,EQ,30-JUN-2008,2,1,INE200A01026,2
720,HAL,Hindustan Aeronautics Limited,EQ,28-MAR-2018,5,1,INE066F01020,5
721,HAPPSTMNDS,Happiest Minds Technologies Limited,EQ,17-SEP-2020,2,1,INE419U01012,2
722,HAPPYFORGE,Happy Forgings Limited,EQ,27-DEC-2023,2,1,INE330T01021,2
723,HARDWYN,Hardwyn India Limited,BE,12-APR-2022,1,1,INE626Z01029,1
724,HARIOMPIPE,Hariom Pipe Industries Limited,EQ,13-APR-2022,10,1,INE00EV01017,10
725,HARRMALAYA,Harrisons  Malayalam Limited,EQ,08-FEB-1995,10,1,INE544A01019,10
726,HARSHA,Harsha Engineers International Limited,EQ,26-SEP-2022,10,1,INE0JUS01029,10
727,HATHWAY,Hathway Cable & Datacom Limited,EQ,25-FEB-2010,2,1,INE982F01036,2
728,HATSUN,Hatsun Agro Product Limited,EQ,20-JUN-2014,1,1,INE473B01035,1
729,HAVELLS,Havells India Limited,EQ,21-MAR-2001,1,1,INE176B01034,1
730,HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,EQ,16-FEB-2000,2,1,INE293B01029,2
731,HBLENGINE,HBL Engineering Limited,EQ,04-JAN-2007,1,1,INE292B01021,1
732,HBSL,HB Stockholdings Limited,EQ,23-JUL-2018,10,1,INE550B01022,10
733,HCC,Hindustan Construction Company Limited,EQ,01-APR-2003,1,1,INE549A01026,1
734,HCG,Healthcare Global Enterprises Limited,EQ,30-MAR-2016,10,1,INE075I01017,10
735,HCL-INSYS,HCL Infosystems Limited,EQ,01-JAN-1997,2,1,INE236A01020,2
736,HCLTECH,HCL Technologies Limited,EQ,06-JAN-2000,2,1,INE860A01027,2
737,HDFCAMC,HDFC Asset Management Company Limited,EQ,06-AUG-2018,5,1,INE127D01025,5
738,HDFCBANK,HDFC Bank Limited,EQ,08-NOV-1995,1,1,INE040A01034,1
739,HDFCLIFE,HDFC Life Insurance Company Limited,EQ,17-NOV-2017,10,1,INE795G01014,10
740,HDIL,Housing Development and Infrastructure Limited,BZ,24-JUL-2007,10,1,INE191I01012,10
741,HEADSUP,Heads UP Ventures Limited,EQ,14-DEC-2016,10,1,INE759V01019,10
742,HECPROJECT,HEC Infra Projects Limited,BE,30-DEC-2021,10,1,INE558R01013,10
743,HEG,HEG Limited,EQ,10-MAY-1995,2,1,INE545A01024,2
744,HEIDELBERG,HeidelbergCement India Limited,EQ,15-MAR-1995,10,1,INE578A01017,10
745,HEMIPROP,Hemisphere Properties India Limited,EQ,22-OCT-2020,10,1,INE0AJG01018,10
746,HERANBA,Heranba Industries Limited,EQ,05-MAR-2021,10,1,INE694N01015,10
747,HERCULES,Hercules Hoists Limited,BE,19-FEB-2008,1,1,INE688E01024,1
748,HERITGFOOD,Heritage Foods Limited,EQ,27-NOV-1996,5,1,INE978A01027,5
749,HEROMOTOCO,Hero MotoCorp Limited,EQ,11-APR-2003,2,1,INE158A01026,2
750,HESTERBIO,Hester Biosciences Limited,EQ,13-MAR-2015,10,1,INE782E01017,10
751,HEUBACHIND,Heubach Colorants India Limited,EQ,14-JUN-1995,10,1,INE492A01029,10
752,HEXATRADEX,Hexa Tradex Limited,EQ,20-APR-2012,2,1,INE750M01017,2
753,HFCL,HFCL Limited,EQ,09-MAR-2011,1,1,INE548A01028,1
754,HGINFRA,H.G. Infra Engineering Limited,EQ,09-MAR-2018,10,1,INE926X01010,10
755,HGS,Hinduja Global Solutions Limited,EQ,19-JUN-2007,10,1,INE170I01016,10
756,HIKAL,Hikal Limited,EQ,14-FEB-2001,2,1,INE475B01022,2
757,HIL,HIL Limited,EQ,26-APR-1995,10,1,INE557A01011,10
758,HILTON,Hilton Metal Forging Limited,EQ,24-MAY-2007,10,1,INE788H01017,10
759,HIMATSEIDE,Himatsingka Seide Limited,EQ,08-FEB-1995,5,1,INE049A01027,5
760,HINDALCO,Hindalco Industries Limited,EQ,08-JAN-1997,1,1,INE038A01020,1
761,HINDCOMPOS,Hindustan Composites Limited,EQ,08-MAY-1996,5,1,INE310C01029,5
762,HINDCON,Hindcon Chemicals Limited,BE,05-JUL-2021,2,1,INE642Y01029,2
763,HINDCOPPER,Hindustan Copper Limited,EQ,15-SEP-2010,5,1,INE531E01026,5
764,HINDMOTORS,Hindustan Motors Limited,EQ,21-FEB-2011,5,1,INE253A01025,5
765,HINDNATGLS,Hindusthan National Glass & Industries Limited,BE,15-APR-2009,2,1,INE952A01022,2
766,HINDOILEXP,Hindustan Oil Exploration Company Limited,EQ,23-SEP-2003,10,1,INE345A01011,10
767,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,17-JUN-1998,10,1,INE094A01015,10
768,HINDUNILVR,Hindustan Unilever Limited,EQ,06-JUL-1995,1,1,INE030A01027,1
769,HINDWAREAP,Hindware Home Innovation Limited,EQ,26-DEC-2019,2,1,INE05AN01011,2
770,HINDZINC,Hindustan Zinc Limited,EQ,21-NOV-2006,2,1,INE267A01025,2
771,HIRECT,Hind Rectifiers Limited,EQ,26-DEC-2006,2,1,INE835D01023,2
772,HISARMETAL,Hisar Metal Industries Limited,EQ,05-JAN-2017,10,1,INE598C01011,10
773,HITECH,Hi-Tech Pipes Limited,EQ,07-MAY-2018,1,1,INE106T01025,1
774,HITECHCORP,Hitech Corporation Limited,EQ,20-DEC-2007,10,1,INE120D01012,10
775,HITECHGEAR,The Hi-Tech Gears Limited,BE,21-JAN-2002,10,1,INE127B01011,10
776,HLEGLAS,HLE Glascoat Limited,EQ,09-FEB-2023,2,1,INE461D01028,2
777,HLVLTD,HLV LIMITED,EQ,19-JUL-1995,2,1,INE102A01024,2
778,HMAAGRO,HMA Agro Industries Limited,EQ,04-JUL-2023,1,1,INE0ECP01024,1
779,HMT,HMT Limited,BZ,29-AUG-2003,10,1,INE262A01018,10
780,HMVL,Hindustan Media Ventures Limited,EQ,21-JUL-2010,10,1,INE871K01015,10
781,HNDFDS,Hindustan Foods Limited,EQ,06-JUN-2023,2,1,INE254N01026,2
782,HOMEFIRST,Home First Finance Company India Limited,EQ,03-FEB-2021,2,1,INE481N01025,2
783,HONASA,Honasa Consumer Limited,EQ,07-NOV-2023,10,1,INE0J5401028,10
784,HONAUT,Honeywell Automation India Limited,EQ,18-JUL-2003,10,1,INE671A01010,10
785,HONDAPOWER,Honda India Power Products Limited,EQ,01-APR-2003,10,1,INE634A01018,10
786,HOVS,HOV Services Limited,EQ,27-SEP-2006,10,1,INE596H01014,10
787,HPAL,HP Adhesives Limited,EQ,27-DEC-2021,2,1,INE0GSL01024,2
788,HPIL,Hindprakash Industries Limited,EQ,07-NOV-2022,10,1,INE05X901010,10
789,HPL,HPL Electric & Power Limited,EQ,04-OCT-2016,10,1,INE495S01016,10
790,HSCL,Himadri Speciality Chemical Limited,EQ,02-MAR-2007,1,1,INE019C01026,1
791,HTMEDIA,HT Media Limited,EQ,01-SEP-2005,2,1,INE501G01024,2
792,HUBTOWN,Hubtown Limited,EQ,07-FEB-2007,10,1,INE703H01016,10
793,HUDCO,Housing & Urban Development Corporation Limited,EQ,19-MAY-2017,10,1,INE031A01017,10
794,HUHTAMAKI,Huhtamaki India Limited,EQ,01-OCT-2004,2,1,INE275B01026,2
795,HYBRIDFIN,Hybrid Financial Services Limited,BE,05-DEC-2022,5,1,INE965B01022,5
796,HYUNDAI,Hyundai Motor India Limited,EQ,22-OCT-2024,10,1,INE0V6F01027,10
797,ICDSLTD,ICDS Limited,BE,17-NOV-1999,10,1,INE613B01010,10
798,ICEMAKE,Ice Make Refrigeration Limited,EQ,12-OCT-2020,10,1,INE520Y01019,10
799,ICICIBANK,ICICI Bank Limited,EQ,17-SEP-1997,2,1,INE090A01021,2
800,ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,27-SEP-2017,10,1,INE765G01017,10
801,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,29-SEP-2016,10,1,INE726G01019,10
802,ICIL,Indo Count Industries Limited,EQ,12-SEP-2005,2,1,INE483B01026,2
803,ICRA,ICRA Limited,EQ,13-APR-2007,10,1,INE725G01011,10
804,IDBI,IDBI Bank Limited,EQ,20-SEP-1995,10,1,INE008A01015,10
805,IDEA,Vodafone Idea Limited,EQ,09-MAR-2007,10,1,INE669E01016,10
806,IDEAFORGE,Ideaforge Technology Limited,EQ,07-JUL-2023,10,1,INE349Y01013,10
807,IDFCFIRSTB,IDFC First Bank Limited,EQ,06-NOV-2015,10,1,INE092T01019,10
808,IEL,Indiabulls Enterprises Limited,BE,27-DEC-2022,2,1,INE059901020,2
809,IEX,Indian Energy Exchange Limited,EQ,23-OCT-2017,1,1,INE022Q01020,1
810,IFBAGRO,IFB Agro Industries Limited,EQ,03-APR-1996,10,1,INE076C01018,10
811,IFBIND,IFB Industries Limited,EQ,29-MAR-1995,10,1,INE559A01017,10
812,IFCI,IFCI Limited,EQ,26-APR-1995,10,1,INE039A01010,10
813,IFGLEXPOR,IFGL Refractories Limited,EQ,14-NOV-2017,10,1,INE133Y01011,10
814,IGARASHI,Igarashi Motors India Limited,EQ,09-OCT-2003,10,1,INE188B01013,10
815,IGIL,International Gemmological Institute (India) Limited,EQ,20-DEC-2024,2,1,INE0Q9301021,2
816,IGL,Indraprastha Gas Limited,EQ,26-DEC-2003,2,1,INE203G01027,2
817,IGPL,IG Petrochemicals Limited,EQ,29-JAN-2007,10,1,INE204A01010,10
818,IIFL,IIFL Finance Limited,EQ,17-MAY-2005,2,1,INE530B01024,2
819,IIFLCAPS,IIFL Capital Services Limited,EQ,20-SEP-2019,2,1,INE489L01022,2
820,IITL,Industrial Investment Trust Limited,BE,17-AUG-2010,10,1,INE886A01014,10
821,IKIO,IKIO Lighting Limited,EQ,16-JUN-2023,10,1,INE0LOJ01019,10
822,IKS,Inventurus Knowledge Solutions Limited,EQ,19-DEC-2024,1,1,INE115Q01022,1
823,IL&FSENGG,IL&FS Engineering and Construction Company Limited,BZ,25-OCT-2007,10,1,INE369I01014,10
824,IL&FSTRANS,IL&FS Transportation Networks Limited,BZ,30-MAR-2010,10,1,INE975G01012,10
825,IMAGICAA,Imagicaaworld Entertainment Limited,EQ,06-APR-2015,10,1,INE172N01012,10
826,IMFA,Indian Metals & Ferro Alloys Limited,EQ,23-JUL-2010,10,1,INE919H01018,10
827,IMPAL,India Motor Parts and Accessories Limited,EQ,07-OCT-2005,10,1,INE547E01014,10
828,IMPEXFERRO,Impex Ferro Tech Limited,BZ,03-FEB-2005,10,1,INE691G01015,10
829,INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,EQ,01-JUL-2016,10,1,INE452L01012,10
830,INDBANK,Indbank Merchant Banking Services Limited,EQ,08-OCT-2008,10,1,INE841B01017,10
831,INDGN,Indegene Limited,EQ,13-MAY-2024,2,1,INE065X01017,2
832,INDHOTEL,The Indian Hotels Company Limited,EQ,03-JUL-1996,1,1,INE053A01029,1
833,INDIACEM,The India Cements Limited,EQ,31-MAY-2000,10,1,INE383A01012,10
834,INDIAGLYCO,India Glycols Limited,EQ,01-JUL-2005,10,1,INE560A01015,10
835,INDIAMART,Indiamart Intermesh Limited,EQ,04-JUL-2019,10,1,INE933S01016,10
836,INDIANB,Indian Bank,EQ,01-MAR-2007,10,1,INE562A01011,10
837,INDIANCARD,Indian Card Clothing Company Limited,BE,08-JAN-1997,10,1,INE061A01014,10
838,INDIANHUME,Indian Hume Pipe Company Limited,EQ,30-AUG-1995,2,1,INE323C01030,2
839,INDIASHLTR,India Shelter Finance Corporation Limited,EQ,20-DEC-2023,5,1,INE922K01024,5
840,INDIGO,InterGlobe Aviation Limited,EQ,10-NOV-2015,10,1,INE646L01027,10
841,INDIGOPNTS,Indigo Paints Limited,EQ,02-FEB-2021,10,1,INE09VQ01012,10
842,INDNIPPON,India Nippon Electricals Limited,EQ,07-MAY-1997,5,1,INE092B01025,5
843,INDOAMIN,Indo Amines Limited,EQ,29-APR-2022,5,1,INE760F01028,5
844,INDOBORAX,Indo Borax & Chemicals Limited,EQ,29-MAR-2022,1,1,INE803D01021,1
845,INDOCO,Indoco Remedies Limited,EQ,14-JAN-2005,2,1,INE873D01024,2
846,INDOFARM,Indo Farm Equipment Limited,EQ,07-JAN-2025,10,1,INE622H01018,10
847,INDORAMA,Indo Rama Synthetics (India) Limited,EQ,20-JUN-2003,10,1,INE156A01020,10
848,INDOSTAR,IndoStar Capital Finance Limited,EQ,21-MAY-2018,10,1,INE896L01010,10
849,INDOTECH,Indo Tech Transformers Limited,EQ,16-MAR-2006,10,1,INE332H01014,10
850,INDOTHAI,Indo Thai Securities Limited,BE,02-NOV-2011,10,1,INE337M01013,10
851,INDOUS,Indo Us Biotech Limited,BE,27-SEP-2024,10,1,INE250Z01010,10
852,INDOWIND,Indowind Energy Limited,EQ,14-SEP-2007,10,1,INE227G01018,10
853,INDRAMEDCO,Indraprastha Medical Corporation Limited,EQ,17-APR-1997,10,1,INE681B01017,10
854,INDSWFTLAB,Ind-Swift Laboratories Limited,EQ,02-JUL-1997,10,1,INE915B01019,10
855,INDSWFTLTD,Ind-Swift Limited,BE,18-OCT-2004,2,1,INE788B01028,2
856,INDTERRAIN,Indian Terrain Fashions Limited,EQ,11-MAR-2011,2,1,INE611L01021,2
857,INDUSINDBK,IndusInd Bank Limited,EQ,28-JAN-1998,10,1,INE095A01012,10
858,INDUSTOWER,Indus Towers Limited,EQ,28-DEC-2012,10,1,INE121J01017,10
859,INFIBEAM,Infibeam Avenues Limited,EQ,04-APR-2016,1,1,INE483S01020,1
860,INFOBEAN,InfoBeans Technologies Limited,EQ,15-JUL-2019,10,1,INE344S01016,10
861,INFOMEDIA,Infomedia Press Limited,EQ,12-OCT-2006,10,1,INE669A01022,10
862,INFY,Infosys Limited,EQ,08-FEB-1995,5,1,INE009A01021,5
863,INGERRAND,Ingersoll Rand (India) Limited,EQ,15-APR-1999,10,1,INE177A01018,10
864,INNOVACAP,Innova Captab Limited,EQ,29-DEC-2023,10,1,INE0DUT01020,10
